paper.code,source.code,list.name,in.text.citation,authors,title,publication,year,volume,issue,start.page.no,end.page.no,doi,authors.full.name,ISSN,eISSN,ISBN,book.doi,wos.uid
19,19,primary data,NA,"Baker, HK; Li, SS; Samu, SC; Jones, NT; Symons, CC; Shurin, JB",Prey naivete alters the balance of consumptive and non-consumptive predator effects and shapes trophic cascades in freshwater plankton,OIKOS,2022,2022,11,NA,NA,10.1111/oik.09173,"Baker, Henry K.; Li, Stephanie S.; Samu, Stefan C.; Jones, Natalie T.; Symons, Celia C.; Shurin, Jonathan B.",0030-1299,1600-0706,NA,NA,WOS:000822743400001
21,21,primary data,NA,"Titocci, J; Fink, P","Food quality impacts on reproductive traits, development and fatty acid composition of the freshwater calanoid copepod Eudiaptomus sp.",JOURNAL OF PLANKTON RESEARCH,2022,44,4,528,541,10.1093/plankt/fbac030,"Titocci, Jessica; Fink, Patrick",0142-7873,1464-3774,NA,NA,WOS:000814273800001
22,22,primary data,NA,"Gu, L; Qin, SS; Sun, YF; Huang, J; Akbar, S; Zhang, L; Yang, Z",Coping with antagonistic predation risks: Predator-dependent unique responses are dominant in Ceriodaphnia cornuta,MOLECULAR ECOLOGY,2022,31,14,3951,3962,10.1111/mec.16550,"Gu, Lei; Qin, Shanshan; Sun, Yunfei; Huang, Jing; Akbar, Siddiq; Zhang, Lu; Yang, Zhou",0962-1083,1365-294X,NA,NA,WOS:000807225400001
25,25,primary data,NA,"Ramaekers, L; Pinceel, T; Brendonck, L; Vanschoenwinkel, B",Direct effects of elevated dissolved CO2 can alter the life history of freshwater zooplankton,SCIENTIFIC REPORTS,2022,12,1,NA,NA,10.1038/s41598-022-10094-2,"Ramaekers, Lana; Pinceel, Tom; Brendonck, Luc; Vanschoenwinkel, Bram",2045-2322,NA,NA,NA,WOS:000782202600074
26,26,primary data,NA,"Gomes, ACAM; Macêdo, RL; Gomes, LF; Velho, LFM; Rocha, O; Vieira, LCG","Range expansion of Kellicottia bostoniensis (Rousselet, 1908) (Rotifera) throughout a biogeographic boundary between the Brazilian savanna and the Amazon",AQUATIC SCIENCES,2022,84,2,NA,NA,10.1007/s00027-022-00861-8,"Missias Gomes, Ana Caroline Alcantara; Macedo, Rafael Lacerda; Gomes, Leonardo Fernandes; Machado Velho, Luiz Felipe; Rocha, Odete; Galli Vieira, Ludgero Cardoso",1015-1621,1420-9055,NA,NA,WOS:000776859500003
29,29,primary data,NA,"Kim, K; Taylor, DJ",Thermal phenotypic plasticity of the second limb in Daphnia,JOURNAL OF PLANKTON RESEARCH,2022,44,2,259,267,10.1093/plankt/fbac003,"Kim, Keonho; Taylor, Derek J.",0142-7873,1464-3774,NA,NA,WOS:000792132500001
30,30,primary data,NA,"Dao, TS; Nguyen, VT; Baduel, C; Bui, MH; Tran, VT; Pham, TL; Bui, BT; Dinh, KV",Toxicity of di-2-ethylhexyl phthalate and tris (2-butoxyethyl) phosphate to a tropical micro-crustacean (Ceriodaphnia cornuta) is higher in Mekong River water than in standard laboratory medium,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,2022,29,26,39777,39789,10.1007/s11356-022-18993-7,"Dao, Thanh-Son; Nguyen, Van-Tai; Baduel, Christine; Bui, Manh-Ha; Tran, Viet Tuan; Pham, Thanh-Luu; Bui, Ba-Trung; Dinh, Khuong V.",0944-1344,1614-7499,NA,NA,WOS:000750720700014
32,32,primary data,NA,"Mohanty, TR; Tiwari, NK; Kumari, S; Ray, A; Manna, RK; Bayen, S; Roy, S; Das Gupta, S; Ramteke, MH; Swain, HS; Bhor, M; Das, BK",Variation of Aulacoseira granulata as an eco-pollution indicator in subtropical large river Ganga in India: a multivariate analytical approach,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,2022,29,25,37498,37512,10.1007/s11356-021-18096-9,"Mohanty, Trupti Rani; Tiwari, Nitish Kumar; Kumari, Suman; Ray, Archisman; Manna, Ranjan Kumar; Bayen, Supriti; Roy, Shreya; Das Gupta, Subhadeep; Ramteke, Mitesh Hiradas; Swain, Himanshu Sekhar; Bhor, Manisha; Das, Basanta Kumar",0944-1344,1614-7499,NA,NA,WOS:000745614100011
35,35,primary data,NA,"Govaert, L; De Meester, L; Rousseaux, S; Declerck, SAJ; Pantel, JH",Measuring the contribution of evolution to community trait structure in freshwater zooplankton,OIKOS,2021,130,10,1773,1787,10.1111/oik.07885,"Govaert, Lynn; De Meester, Luc; Rousseaux, Sarah; Declerck, Steven A. J.; Pantel, Jelena H.",0030-1299,1600-0706,NA,NA,WOS:000687345900001
37,37,primary data,NA,"Caputo, L; Fuentes, R; Woelfl, S; Castañeda, LE; Cárdenas, L","Phenotypic plasticity of clonal populations of the freshwater jellyfish Craspedacusta sowerbii (Lankester, 1880) in Southern Hemisphere lakes (Chile) and the potential role of the zooplankton diet",AUSTRAL ECOLOGY,2021,46,8,1192,1197,10.1111/aec.13087,"Caputo, Luciano; Fuentes, Romina; Woelfl, Stefan; Castaneda, Luis E.; Cardenas, Leyla",1442-9985,1442-9993,NA,NA,WOS:000675245800001
38,38,primary data,NA,"Flöder, S; Yong, J; Klauschies, T; Gaedke, U; Poprick, T; Brinkhoff, T; Moorthi, S",Intraspecific trait variation alters the outcome of competition in freshwater ciliates,ECOLOGY AND EVOLUTION,2021,11,15,10225,10243,10.1002/ece3.7828,"Floeder, Sabine; Yong, Joanne; Klauschies, Toni; Gaedke, Ursula; Poprick, Tobias; Brinkhoff, Thorsten; Moorthi, Stefanie",2045-7758,NA,NA,NA,WOS:000667626100001
39,39,primary data,NA,"Bomfim, FD; Melao, MDG; Gebara, RC; Lansac-Tôha, FA",Warming and predator drive functional responses of three subtropical cladocerans,AQUATIC ECOLOGY,2021,55,3,903,914,10.1007/s10452-021-09870-5,"Bomfim, Francieli de Fatima; Gama Melao, Maria da Graca; Gebara, Renan Castelhano; Lansac-Toha, Fabio Amodeo",1386-2588,1573-5125,NA,NA,WOS:000651664400001
40,40,primary data,NA,"Münzner, K; Gollnisch, R; Rengefors, K; Koreiviene, J; Lindström, ES",High Iron Requirements for Growth in the Nuisance Alga Gonyostomum semen (Raphidophyceae),JOURNAL OF PHYCOLOGY,2021,57,4,1309,1322,10.1111/jpy.13170,"Munzner, Karla; Gollnisch, Raphael; Rengefors, Karin; Koreiviene, Judita; Lindstrom, Eva S.",0022-3646,1529-8817,NA,NA,WOS:000650458000001
41,41,primary data,NA,"Fettweis, A; Bergen, B; Hansul, S; De Schamphelaere, K; Smolders, E","Correlated Ni, Cu, and Zn Sensitivities of 8 Freshwater Algal Species and Consequences for Low-Level Metal Mixture Effects",ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY,2021,40,7,2015,2025,10.1002/etc.5034,"Fettweis, Andreas; Bergen, Benoit; Hansul, Simon; De Schamphelaere, Karel; Smolders, Erik",0730-7268,1552-8618,NA,NA,WOS:000648346800001
42,42,primary data,NA,"Choi, JY; Kim, SK","The Use of Winter Water Temperature and Food Composition by the Copepod Cyclops vicinus (Uljanin, 1875) to Provide a Temporal Refuge from Fish Predation",BIOLOGY-BASEL,2021,10,5,NA,NA,10.3390/biology10050393,"Choi, Jong-Yun; Kim, Seong-Ki",NA,2079-7737,NA,NA,WOS:000653459300001
43,43,primary data,NA,"Broccoli, A; Anselmi, S; Cavallo, A; Ferrari, V; Prevedelli, D; Pastorino, P; Renzi, M","Ecotoxicological effects of new generation pollutants (nanoparticles, amoxicillin and white musk) on freshwater and marine phytoplankton species",CHEMOSPHERE,2021,279,NA,NA,NA,10.1016/j.chemosphere.2021.130623,"Broccoli, Andrea; Anselmi, Serena; Cavallo, Andrea; Ferrari, Vittoria; Prevedelli, Daniela; Pastorino, Paolo; Renzi, Monia",0045-6535,1879-1298,NA,NA,WOS:000659971200116
44,44,primary data,NA,"Tseng, M; Di Filippo, CM; Fung, M; Kim, JO; Forster, IP; Zhou, YL",Cascading effects of algal warming in a freshwater community,FUNCTIONAL ECOLOGY,2021,35,4,920,929,10.1111/1365-2435.13752,"Tseng, Michelle; Di Filippo, Carla M.; Fung, Madeline; Kim, Jihyun O.; Forster, Ian P.; Zhou, Yilin",0269-8463,1365-2435,NA,NA,WOS:000624341300001
46,46,primary data,NA,"Kazama, T; Urabe, J; Yamamichi, M; Tokita, K; Yin, XW; Katano, I; Doi, H; Yoshida, T; Hairston, NG",A unified framework for herbivore-to-producer biomass ratio reveals the relative influence of four ecological factors,COMMUNICATIONS BIOLOGY,2021,4,1,NA,NA,10.1038/s42003-020-01587-9,"Kazama, Takehiro; Urabe, Jotaro; Yamamichi, Masato; Tokita, Kotaro; Yin, Xuwang; Katano, Izumi; Doi, Hideyuki; Yoshida, Takehito; Hairston, Nelson G., Jr.",NA,2399-3642,NA,NA,WOS:000608285700007
47,47,primary data,NA,"Amaral, DC; Dunck, B; Braghin, LSM; Fernandes, UL; Bomfim, FF; Bonecker, CC; Lansac-Tôha, FA",Predation by an omnivorous fish and food availability alter zooplankton functional diversity: a microcosm approach,ANAIS DA ACADEMIA BRASILEIRA DE CIENCIAS,2021,93,NA,NA,NA,10.1590/0001-3765202120200778,"Amaral, Diogo C.; Dunck, Barbara; Braghin, Louizi S. M.; Fernandes, Ubirajara L.; Bomfim, Francieli F.; Bonecker, Claudia C.; Lansac-Toha, Fabio A.",0001-3765,1678-2690,NA,NA,WOS:000691751200001
48,48,primary data,NA,"Chaktraborty, S; Karmaker, D; Rahman, MA; Bali, SC; Das, SK; Hossen, R","Impacts of pH and salinity on community composition, growth and cell morphology of three freshwater phytoplankton",PLANT SCIENCE TODAY,2021,8,3,655,661,10.14719/pst.2021.8.3.1190,"Chaktraborty, Shaswati; Karmaker, Dipalok; Rahman, Md Alimur; Bali, Sukanto Chandra; Das, Subroto K.; Hossen, Riyad",2348-1900,NA,NA,NA,WOS:000669503900030
49,49,primary data,NA,"Macêdo, RL; Franco, ACS; Corrêa, RF; Costa, KD; Pereira, LG; de Oliveira, FDM; Klippel, G; Cordeiro, BD; Thiago, MGR; Rocha, MID; Huszar, VLM; dos Santos, LN; Branco, CWC","Spreading of the invasive dinoflagellate Ceratium furcoides (Levander) Langhans throughout the Paraiba do Sul ecoregion, South America, Brazil",LIMNETICA,2021,40,2,233,246,10.23818/limn.40.16,"Macedo, Rafael Lacerda; Sampaio Franco, Ana Clara; Correa, Raphael Ferreira; Costa, Karen do Nascimento; Pereira, Laryssa Goncalves; Maniero de Oliveira, Fernando Daniela; Klippel, Gabriel; Cordeiro, Bruno Damasceno; Ribeiro Thiago, Mariana Guedes; Rocha, Maria Isabel de A.; Huszar, Vera L. M.; dos Santos, Luciano Neves; Castelo Branco, Christina Wyss",0213-8409,1989-1806,NA,NA,WOS:000659952800001
50,50,primary data,NA,"Salmi, P; Mäki, A; Mikkonen, A; Puupponen, VM; Vuorio, K; Tiirola, M",Comparison of epifluorescence microscopy and flow cytometry in counting freshwater picophytoplankton,BOREAL ENVIRONMENT RESEARCH,2021,26,NA,17,27,10.17011/jyx/dataset/66278,"Salmi, Pauliina; Maki, Anita; Mikkonen, Anu; Puupponen, Veli-Mikko; Vuorio, Kristiina; Tiirola, Made",1239-6095,1797-2469,NA,NA,WOS:000641306800002
51,51,primary data,NA,"Lu, XT; Gao, YY; Weisse, T",Functional Ecology of Two Contrasting Freshwater Ciliated Protists in Relation to Temperature,JOURNAL OF EUKARYOTIC MICROBIOLOGY,2021,68,1,NA,NA,10.1111/jeu.12823,"Lu, Xiaoteng; Gao, Yunyi; Weisse, Thomas",1066-5234,1550-7408,NA,NA,WOS:000602507000001
52,52,primary data,NA,"Lines, T; Orr, P; Beardall, J",Elevated co2 has Differential Effects on Five Species of Microalgae from a Subtropical Freshwater Lake: Possible Implications for Phytoplankton Species Composition1,JOURNAL OF PHYCOLOGY,2021,57,1,324,334,10.1111/jpy.13104,"Lines, Thomas; Orr, Philip; Beardall, John",0022-3646,1529-8817,NA,NA,WOS:000601000600001
57,57,primary data,NA,"Sha, YC; Tesson, SVM; Hansson, LA",Diverging responses to threats across generations in zooplankton,ECOLOGY,2020,101,11,NA,NA,10.1002/ecy.3145,"Sha, Yongcui; Tesson, Sylvie V. M.; Hansson, Lars-Anders",0012-9658,1939-9170,NA,NA,WOS:000567662000001
58,58,primary data,NA,"Krzton, W; Kosiba, J",Variations in zooplankton functional groups density in freshwater ecosystems exposed to cyanobacterial blooms,SCIENCE OF THE TOTAL ENVIRONMENT,2020,730,NA,NA,NA,10.1016/j.scitotenv.2020.139044,"Krzton, Wojciech; Kosiba, Joanna",0048-9697,1879-1026,NA,NA,WOS:000537447300012
60,60,primary data,NA,"Pinheiro-Silva, L; Gianuca, AT; Silveira, MH; Petrucio, MM",Grazing efficiency asymmetry drives zooplankton top-down control on phytoplankton in a subtropical lake dominated by non-toxic cyanobacteria,HYDROBIOLOGIA,2020,847,10,2307,2320,10.1007/s10750-020-04255-5,"Pinheiro-Silva, Lorena; Gianuca, Andros Tarouco; Silveira, Monica Hessel; Petrucio, Mauricio Mello",0018-8158,1573-5117,NA,NA,WOS:000531813500008
61,61,primary data,NA,"Vezhnavets, VV; Litvinova, AG","REPRESENTATIVES OF THE GENUS EURYTEMORA GIESBRECHT, 1881 (CALANOIDA, TEMORIDAE) IN AQUATIC ECOSYSTEMS OF BELARUS",CRUSTACEANA,2020,93,3-5,283,298,10.1163/15685403-00004008,"Vezhnavets, Vasil V.; Litvinova, Anastasiya G.",0011-216X,1568-5403,NA,NA,WOS:000540781400005
63,63,primary data,NA,"Ritschar, S; Rabus, M; Laforsch, C",Predator-specific inducible morphological defenses of a water flea against two freshwater predators,JOURNAL OF MORPHOLOGY,2020,281,6,653,661,10.1002/jmor.21131,"Ritschar, Sven; Rabus, Max; Laforsch, Christian",0362-2525,1097-4687,NA,NA,WOS:000528334400001
65,65,primary data,NA,"Luimstra, VM; Verspagen, JMH; Xu, TS; Schuurmans, JM; Huisman, J",Changes in water color shift competition between phytoplankton species with contrasting light-harvesting strategies,ECOLOGY,2020,101,3,NA,NA,10.1002/ecy.2951,"Luimstra, Veerle M.; Verspagen, Jolanda M. H.; Xu, Tianshuo; Schuurmans, J. Merijn; Huisman, Jef",0012-9658,1939-9170,NA,NA,WOS:000510577700001
66,66,primary data,NA,"Arunpandi, N; Jyothibabu, R; Jagadeesan, L; Albin, KJ; Savitha, KMM; Parthasarathi, S",Impact of salinity on the grazing rate of a cladocera (Latonopsis australis) in a large tropical estuarine system,ENVIRONMENTAL MONITORING AND ASSESSMENT,2020,192,2,NA,NA,10.1007/s10661-020-8068-x,"Arunpandi, N.; Jyothibabu, R.; Jagadeesan, L.; Albin, K. J.; Savitha, K. M. M.; Parthasarathi, S.",0167-6369,1573-2959,NA,NA,WOS:000521105000001
67,67,primary data,NA,"Hofmann, P; Chatzinotas, A; Harpole, WS; Dunker, S",Temperature and stoichiometric dependence of phytoplankton traits,ECOLOGY,2019,100,12,NA,NA,10.1002/ecy.2875,"Hofmann, Peter; Chatzinotas, Antonis; Harpole, W. Stanley; Dunker, Susanne",0012-9658,1939-9170,NA,NA,WOS:000491684700001
68,68,primary data,NA,"Barrow, JL; Beisner, BE; Giles, R; Giani, A; Domaizon, I; Gregory-Eaves, I",Macrophytes moderate the taxonomic and functional composition of phytoplankton assemblages during a nutrient loading experiment,FRESHWATER BIOLOGY,2019,64,8,1369,1381,10.1111/fwb.13311,"Barrow, Jennifer L.; Beisner, Beatrix E.; Giles, Rachel; Giani, Alessandra; Domaizon, Isabelle; Gregory-Eaves, Irene",0046-5070,1365-2427,NA,NA,WOS:000474661800002
69,69,primary data,NA,"Colomer, J; Müller, MF; Barcelona, A; Serra, T",Mediated food and hydrodynamics on the ingestion of microplastics by Daphnia magna,ENVIRONMENTAL POLLUTION,2019,251,NA,434,441,10.1016/j.envpol.2019.05.034,"Colomer, Jordi; Muller, Mara F.; Barcelona, Aina; Serra, Teresa",0269-7491,1873-6424,NA,NA,WOS:000474329700048
70,70,primary data,NA,"Tseng, M; Bernhardt, JR; Chila, AE",Species interactions mediate thermal evolution,EVOLUTIONARY APPLICATIONS,2019,12,7,1463,1474,10.1111/eva.12805,"Tseng, M.; Bernhardt, Joey R.; Chila, Alexander E.",1752-4571,NA,NA,NA,WOS:000480580300017
71,71,primary data,NA,"Jordan, MP; Stewart, AR; Eagles-Smith, CA; Strecker, AL",Nutrients mediate the effects of temperature on methylmercury concentrations in freshwater zooplankton,SCIENCE OF THE TOTAL ENVIRONMENT,2019,667,NA,601,612,10.1016/j.scitotenv.2019.02.259,"Jordan, Meredith P.; Stewart, A. Robin; Eagles-Smith, Collin A.; Strecker, Angela L.",0048-9697,1879-1026,NA,NA,WOS:000461676600063
72,72,primary data,NA,"Josué, IIP; Cardoso, SJ; Miranda, M; Mucci, M; Ger, KA; Roland, F; Marinho, MM",Cyanobacteria dominance drives zooplankton functional dispersion,HYDROBIOLOGIA,2019,831,1,149,161,10.1007/s10750-018-3710-0,"Josue, Iollanda I. P.; Cardoso, Simone J.; Miranda, Marcela; Mucci, Maira; Ger, Kemal Ali; Roland, Fabio; Marinho, Marcelo Manzi",0018-8158,1573-5117,NA,NA,WOS:000458372800013
73,73,primary data,NA,"Raveh, S; Langen, K; Bakker, TCM; Josephs, C; Frommen, JG","Oddity, predation risk and social decisions in aquatic invertebrates",ETHOLOGY,2019,125,2,106,113,10.1111/eth.12835,"Raveh, Shirley; Langen, Kathrin; Bakker, Theo C. M.; Josephs, Christian; Frommen, Joachim G.",0179-1613,1439-0310,NA,NA,WOS:000455963400005
74,74,primary data,NA,"Wilkinson, AA; Hondzo, M; Guala, M",Investigating Abiotic Drivers for Vertical and Temporal Heterogeneities of Cyanobacteria Concentrations in Lakes Using a Seasonal In Situ Monitoring Station,WATER RESOURCES RESEARCH,2019,55,2,954,972,10.1029/2018WR024228,"Wilkinson, A. A.; Hondzo, M.; Guala, M.",0043-1397,1944-7973,NA,NA,WOS:000461858900006
76,76,primary data,NA,"Mironova, E; Gopko, M; Pasternak, A; Mikheev, V; Taskinen, J",Trematode cercariae as prey for zooplankton: effect on fitness traits of predators,PARASITOLOGY,2019,146,1,105,111,10.1017/S0031182018000963,"Mironova, Ekaterina; Gopko, Mikhail; Pasternak, Anna; Mikheev, Viktor; Taskinen, Jouni",0031-1820,1469-8161,NA,NA,WOS:000455203800009
77,77,primary data,NA,"Mandal, S; Wilkins, RA; Shurin, JB",Compensatory grazing by Daphnia generates a trade-off between top-down and bottom-up effects across phytoplankton taxa,ECOSPHERE,2018,9,12,NA,NA,10.1002/ecs2.2537,"Mandal, Shovon; Wilkins, Rachel Abbott; Shurin, Jonathan B.",2150-8925,NA,NA,NA,WOS:000454308600014
80,80,primary data,NA,"Bestion, E; García-Carreras, B; Schaum, CE; Pawar, S; Yvon-Durocher, G",Metabolic traits predict the effects of warming on phytoplankton competition,ECOLOGY LETTERS,2018,21,5,655,664,10.1111/ele.12932,"Bestion, Elvire; Garcia-Carreras, Bernardo; Schaum, Charlotte-Elisa; Pawar, Samraat; Yvon-Durocher, Gabriel",1461-023X,1461-0248,NA,NA,WOS:000430120400006
82,82,primary data,NA,"Jones, NT; Gilbert, B",Geographic signatures in species turnover: decoupling colonization and extinction across a latitudinal gradient,OIKOS,2018,127,4,507,517,10.1111/oik.04590,"Jones, Natalie T.; Gilbert, Benjamin",0030-1299,1600-0706,NA,NA,WOS:000429006200003
83,83,primary data,NA,"Wolf, R; Heuschele, J",Water Browning Influences the Behavioral Effects of Ultraviolet Radiation on Zooplankton,FRONTIERS IN ECOLOGY AND EVOLUTION,2018,6,NA,NA,NA,10.3389/fevo.2018.00026,"Wolf, Raoul; Heuschele, Jan",2296-701X,NA,NA,NA,WOS:000451615900002
84,84,primary data,NA,"Kruk, C; Segura, AM; Nogueira, L; Alcántara, I; Calliari, D; de la Escalera, GM; Carballo, C; Cabrera, C; Sarthou, F; Scavone, P; Piccini, C",A multilevel trait-based approach to the ecological performance of Microcystis aeruginosa complex from headwaters to the ocean,HARMFUL ALGAE,2017,70,NA,23,36,10.1016/j.hal.2017.10.004,"Kruk, Carla; Segura, Angel M.; Nogueira, Lucia; Alcantara, Ignacio; Calliari, Danilo; Martinez de la Escalera, Gabriela; Carballo, Carmela; Cabrera, Carolina; Sarthou, Florencia; Scavone, Paola; Piccini, Claudia",1568-9883,1878-1470,NA,NA,WOS:000418311500002
86,86,primary data,NA,"Brennan, GL; Colegrave, N; Collins, S",Evolutionary consequences of multidriver environmental change in an aquatic primary producer,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,2017,114,37,9930,9935,10.1073/pnas.1703375114,"Brennan, Georgina L.; Colegrave, Nick; Collins, Sinead",0027-8424,NA,NA,NA,WOS:000410293400059
87,87,primary data,NA,"Hahn, MW; Karbon, G; Koll, U; Schmidt, J; Lang, E",Polynucleobacter sphagniphilus sp nov a planktonic freshwater bacterium isolated from an acidic and humic freshwater habitat,INTERNATIONAL JOURNAL OF SYSTEMATIC AND EVOLUTIONARY MICROBIOLOGY,2017,67,9,3261,3267,10.1099/ijsem.0.002096,"Hahn, Martin W.; Karbon, Geriinde; Koll, Ulrike; Schmidt, Johanna; Lang, Elke",1466-5026,1466-5034,NA,NA,WOS:000417836100021
89,89,primary data,NA,"Yang, D; Park, S","Freshwater anostracan, Branchinella kugenumaensis, as a potential controlling consumer species on toxic cyanobacteria Microcystis aeruginosa",AQUATIC ECOLOGY,2017,51,3,449,461,10.1007/s10452-017-9628-1,"Yang, Dongwoo; Park, Sangkyu",1386-2588,1573-5125,NA,NA,WOS:000408340600009
