Publication Type,Authors,Author Full Names,Article Title,Source Title,ISSN,eISSN,ISBN,Publication Year,Volume,Issue,Start Page,End Page,Article Number,DOI,Book DOI,UT (Unique WOS ID)
J,"Horstmann, M; Luncke, J; Weiss, LC; Tollrian, R","Horstmann, Martin; Luncke, Jannis; Weiss, Linda C.; Tollrian, Ralph",Long-term analysis and effectiveness of inducible behavioural and morphological traits of Daphnia longicephala in response to Notonecta,FUNDAMENTAL AND APPLIED LIMNOLOGY,1863-9135,,,2023,196,3-4,287,299,,10.1127/fal/2022/1472,,WOS:000885462300001
J,"Pompeu, CR; Peñas, FJ; Goldenberg-Vilar, A; Alvarez-Cabria, M; Barquín, J","Rocha Pompeu, Cassia; Penas, Francisco J.; Goldenberg-Vilar, Alejandra; Alvarez-Cabria, Mario; Barquin, Jose",Assessing the effects of irrigation and hydropower dams on river communities using taxonomic and multiple trait-based approaches,ECOLOGICAL INDICATORS,1470-160X,1872-7034,,2022,145,,,,,10.1016/j.ecolind.2022.109662,,WOS:000934000800002
J,"Tian, W; Zhang, HY; Wang, ZY; Tian, YL; Huang, TS","Tian, Wang; Zhang, Huayong; Wang, Zhongyu; Tian, Yonglan; Huang, Tousheng","Analysis on the stability of plankton in a food web with empirical organism body mass distribution (Oct, 10.1007/s11356-022-23696-0, 2022)",ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,0944-1344,1614-7499,,2023,30,8,21344,21344,,10.1007/s11356-022-24030-4,,WOS:000878976100001
J,"Maszczyk, P; Kiersztyn, B; Gozzo, S; Kowalczyk, G; Jimenez-Lamana, J; Szpunar, J; Pijanowska, J; Jines-Muñoz, C; Zebrowski, ML; Babkiewicz, E","Maszczyk, Piotr; Kiersztyn, Bartosz; Gozzo, Sebastiano; Kowalczyk, Grzegorz; Jimenez-Lamana, Javier; Szpunar, Joanna; Pijanowska, Joanna; Jines-Munoz, Cristina; Zebrowski, Marcin Lukasz; Babkiewicz, Ewa",Combined Effects of Polystyrene Nanoplastics and Enrofloxacin on the Life Histories and Gut Microbiota of Daphnia magna,WATER,,2073-4441,,2022,14,21,,,3403,10.3390/w14213403,,WOS:000882279300001
J,"Simonazzi, M; Pezzolesi, L; Guerrini, F; Vanucci, S; Graziani, G; Vasumini, I; Pandolfi, A; Servadei, I; Pistocchi, R","Simonazzi, Mara; Pezzolesi, Laura; Guerrini, Franca; Vanucci, Silvana; Graziani, Giancarlo; Vasumini, Ivo; Pandolfi, Andrea; Servadei, Irene; Pistocchi, Rossella",Improvement of In Vivo Fluorescence Tools for Fast Monitoring of Freshwater Phytoplankton and Potentially Harmful Cyanobacteria,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,,1660-4601,,2022,19,21,,,14075,10.3390/ijerph192114075,,WOS:000883618400001
J,"Yin, JY; Xia, JH; Xia, ZC; Cai, WW; Liu, ZW; Xu, KJ; Wang, Y; Zhang, RZ; Dong, X","Yin, Jingyun; Xia, Jihong; Xia, Zhichang; Cai, Wangwei; Liu, Zewen; Xu, Kejun; Wang, Yue; Zhang, Rongzhen; Dong, Xu",Temporal Variation and Spatial Distribution in the Water Environment Helps Explain Seasonal Dynamics of Zooplankton in River-Type Reservoir,SUSTAINABILITY,,2071-1050,,2022,14,21,,,13719,10.3390/su142113719,,WOS:000882275100001
J,"Zhang, YZ; Feng, S; Gao, F; Wen, H; Zhu, LY; Li, M; Xi, YL; Xiang, XL","Zhang, Yongzhi; Feng, Sen; Gao, Fan; Wen, Hao; Zhu, Lingyun; Li, Meng; Xi, Yilong; Xiang, Xianling",The Relationship between Brachionus calyciflorus-Associated Bacterial and Bacterioplankton Communities in a Subtropical Freshwater Lake,ANIMALS,2076-2615,,,2022,12,22,,,3201,10.3390/ani12223201,,WOS:000887020300001
J,"Zvavahera, M; Hugo, S; Vine, NG; Weyl, OLF","Zvavahera, Munetsi; Hugo, Sanet; Vine, Niall G.; Weyl, Olaf L. F.","Exploratory stock identification through morphometric trait analysis of the estuarine round herring, Gilchristella aestuaria (Pisces: Clupeidae)",JOURNAL OF FISH BIOLOGY,0022-1112,1095-8649,,2022,101,5,1108,1118,,10.1111/jfb.15172,,WOS:000882842000003
J,"Machado, KB; de Andrade, AT; de Almeida, MF; Nabout, JC","Machado, Karine Borges; de Andrade, Ariany Tavares; de Almeida, Marcela Fernandes; Nabout, Joao Carlos",Systematic mapping of phytoplankton literature about global climate change: revealing temporal trends in research,HYDROBIOLOGIA,0018-8158,1573-5117,,2023,850,1,167,182,,10.1007/s10750-022-05052-y,,WOS:000871163800002
J,"Wu, WX; Liu, HB","Wu, Wenxue; Liu, Hongbin",Cell size is a key ecological trait associated with biogeographic patterns of microbial eukaryotes in coastal waters,FRONTIERS IN MARINE SCIENCE,,2296-7745,,2022,9,,,,933256,10.3389/fmars.2022.933256,,WOS:000875781200001
J,"Werba, JA; Phong, AC; Brar, L; Frempong-Manso, A; Oware, OV; Kolasa, J","Werba, Jo A.; Phong, Alexander C.; Brar, Lakhdeep; Frempong-Manso, Acacia; Oware, Ofure Vanessa; Kolasa, Jurek",Interactions between two functionally distinct aquatic invertebrate herbivores complicate ecosystem- and population-level resilience,PEERJ,2167-8359,,,2022,10,,,,e14103,10.7717/peerj.14103,,WOS:000876929200003
J,"Breton, E; Goberville, E; Sautour, B; Ouadi, A; Skouroliakou, DI; Seuront, L; Beaugrand, G; Kléparski, L; Crouvoisier, M; Pecqueur, D; Salmeron, C; Cauvin, A; Poquet, A; Garcia, N; Gohin, F; Christaki, U","Breton, Elsa; Goberville, Eric; Sautour, Benoit; Ouadi, Anis; Skouroliakou, Dimitra-Ioli; Seuront, Laurent; Beaugrand, Gregory; Kleparski, Loick; Crouvoisier, Muriel; Pecqueur, David; Salmeron, Christophe; Cauvin, Arnaud; Poquet, Adrien; Garcia, Nicole; Gohin, Francis; Christaki, Urania",Multiple phytoplankton community responses to environmental change in a temperate coastal system: A trait-based approach,FRONTIERS IN MARINE SCIENCE,,2296-7745,,2022,9,,,,914475,10.3389/fmars.2022.914475,,WOS:000874544500001
J,"Chin, T; Beecraft, L; Wetz, MS","Chin, Tiffany; Beecraft, Laura; Wetz, Michael S.",Phytoplankton biomass and community composition in three Texas estuaries differing in freshwater inflow regime,ESTUARINE COASTAL AND SHELF SCIENCE,0272-7714,1096-0015,,2022,277,,,,108059,10.1016/j.ecss.2022.108059,,WOS:000868688900003
J,"Iniesto, M; Moreira, D; Benzerara, K; Reboul, G; Bertolino, P; Tavera, R; López-García, P","Iniesto, Miguel; Moreira, David; Benzerara, Karim; Reboul, Guillaume; Bertolino, Paola; Tavera, Rosaluz; Lopez-Garcia, Purificacion",Planktonic microbial communities from microbialite-bearing lakes sampled along a salinity-alkalinity gradient,LIMNOLOGY AND OCEANOGRAPHY,0024-3590,1939-5590,,2022,67,12,2718,2733,,10.1002/lno.12233,,WOS:000860423100001
J,"Karus, K; Zagars, M; Agasild, H; Tuvikene, A; Zingel, P; Puncule, L; Medne-Peipere, M; Feldmann, O","Karus, Katrit; Zagars, Matiss; Agasild, Helen; Tuvikene, Arvo; Zingel, Priit; Puncule, Linda; Medne-Peipere, Madara; Feldmann, Tonu",The influence of macrophyte ecological groups on food web components of temperate freshwater lakes,AQUATIC BOTANY,0304-3770,1879-1522,,2022,183,,,,103571,10.1016/j.aquabot.2022.103571,,WOS:000984278900001
J,"Meng, ZJ; Recoura-Massaquant, R; Chaumot, A; Stoll, S; Liu, W","Meng, Zijiao; Recoura-Massaquant, Remi; Chaumot, Arnaud; Stoll, Serge; Liu, Wei","Acute toxicity of nanoplastics on Daphnia and Gammarus neonates: Effects of surface charge, heteroaggregation, and water properties",SCIENCE OF THE TOTAL ENVIRONMENT,0048-9697,1879-1026,,2023,854,,,,158763,10.1016/j.scitotenv.2022.158763,,WOS:000877216600002
J,"Zheng, SW; Wang, R; Kainz, MJ; Liu, CY; Li, PW; Li, ZX; Yan, HY; Yin, DQ","Zheng, Siwen; Wang, Rui; Kainz, Martin J.; Liu, Chengying; Li, Pengwei; Li, Zixuan; Yan, Haiyu; Yin, Daqiang","How phytoplankton biomass controls metal(loid) bioaccumulation in size-fractionated plankton in anthropogenic-impacted subtropical lakes: A comprehensive study in the Yangtze River Delta, China",WATER RESEARCH,0043-1354,1879-2448,,2022,224,,,,119075,10.1016/j.watres.2022.119075,,WOS:000861750600003
J,"Ersoy, Z; Abril, M; Cañedo-Argüelles, M; Espinosa, C; Vendrell-Puigmitja, L; Proia, L","Ersoy, Zeynep; Abril, Meritxell; Canedo-Arguelles, Miguel; Espinosa, Carmen; Vendrell-Puigmitja, Lidia; Proia, Lorenzo",Experimental assessment of salinization effects on freshwater zooplankton communities and their trophic interactions under eutrophic conditions,ENVIRONMENTAL POLLUTION,0269-7491,1873-6424,,2022,313,,,,120127,10.1016/j.envpol.2022.120127,,WOS:000858736100004
J,"Gross, E; Di Pane, J; Boersma, M; Meunier, CL","Gross, Elisabeth; Di Pane, Julien; Boersma, Maarten; Meunier, Cedric L.",River discharge-related nutrient effects on North Sea coastal and offshore phytoplankton communities,JOURNAL OF PLANKTON RESEARCH,0142-7873,1464-3774,,2022,44,6,959,972,,10.1093/plankt/fbac049,,WOS:000852360000001
J,"Lofton, ME; Howard, DW; McClure, RP; Wander, HL; Woelmer, WM; Hounshell, AG; Lewis, ASL; Carey, CC","Lofton, Mary E.; Howard, Dexter W.; McClure, Ryan P.; Wander, Heather L.; Woelmer, Whitney M.; Hounshell, Alexandria G.; Lewis, Abigail S. L.; Carey, Cayelan C.",Experimental thermocline deepening alters vertical distribution and community structure of phytoplankton in a 4-year whole-reservoir manipulation,FRESHWATER BIOLOGY,0046-5070,1365-2427,,2022,67,11,1903,1924,,10.1111/fwb.13983,,WOS:000849813100001
J,"Ben Othman, H; Pick, FR; Hlaili, AS; Leboulanger, C","Ben Othman, Hiba; Pick, Frances R.; Hlaili, Asma Sakka; Leboulanger, Christophe",Effects of polycyclic aromatic hydrocarbons on marine and freshwater microalgae - A review,JOURNAL OF HAZARDOUS MATERIALS,0304-3894,1873-3336,,2023,441,,,,129869,10.1016/j.jhazmat.2022.129869,,WOS:000863056300003
J,"Kock, A; Smit, NJ; Taylor, JC; Wolmarans, NJ; Wepener, V","Kock, Anrich; Smit, Nico J.; Taylor, Jonathan C.; Wolmarans, Nico J.; Wepener, Victor",A lentic microcosm approach to determine the toxicity of DDT and deltamethrin on diatom communities,ENVIRONMENTAL POLLUTION,0269-7491,1873-6424,,2022,312,,,,120037,10.1016/j.envpol.2022.120037,,WOS:000862854900010
J,"Gu, YB; Liu, ZH; Li, JS; Meng, DL; Yuan, HJ; Zhang, M; Zhang, HT; Yin, HQ; Cong, J; Xiao, NW","Gu, Yabing; Liu, Zhenghua; Li, Junsheng; Meng, Delong; Yuan, Haijun; Zhang, Min; Zhang, Hetian; Yin, Huaqun; Cong, Jing; Xiao, Nengwen","Body size as key trait determining aquatic metacommunity assemblies in benthonic and planktonic habitats of Dongting Lake, China",ECOLOGICAL INDICATORS,1470-160X,1872-7034,,2022,143,,,,109355,10.1016/j.ecolind.2022.109355,,WOS:000862836700002
J,"Torres, MGF; Máquez, REM; Encarnación, SA","Torres, Maria Guadalupe Figueroa; Maquez, Rocio Elizabeth Mucino; Encarnacion, Saul Almanza",State of knowledge of freshwater dinoflagellates in Mexico,HIDROBIOLOGICA,0188-8897,,,2022,32,3,223,234,,,,WOS:000970385000004
J,"Zhu, CX; Zhang, TQ; Liu, XW; Gu, XK; Li, DM; Yin, JW; Jiang, QC; Zhang, WY","Zhu, Chenxi; Zhang, Tongqing; Liu, Xiaowei; Gu, Xiankun; Li, Daming; Yin, Jiawen; Jiang, Qichen; Zhang, Wenyi","Changes in life-history traits, antioxidant defense, energy metabolism and molecular outcomes in the cladoceran Daphnia pulex after exposure to polystyrene microplastics",CHEMOSPHERE,0045-6535,1879-1298,,2022,308,,,,136066,10.1016/j.chemosphere.2022.136066,,WOS:000862937200006
J,"Zhang, HR; Jiang, XD","Zhang, Haoran; Jiang, Xiaodong",Forward and reverse evolution of multivariate responses to cyanobacteria in experimental waterflea populations,LIMNOLOGY AND OCEANOGRAPHY,0024-3590,1939-5590,,2022,67,11,2418,2430,,10.1002/lno.12210,,WOS:000847419300001
J,"Nwe, LW; Yokoyama, K; Azhikodan, G","Nwe, Lett Wai; Yokoyama, Katsuhide; Azhikodan, Gubash",Phytoplankton habitats and size distribution during a neap-spring transition in the highly turbid macrotidal Chikugo River estuary,SCIENCE OF THE TOTAL ENVIRONMENT,0048-9697,1879-1026,,2022,850,,,,157810,10.1016/j.scitotenv.2022.157810,,WOS:000891851900009
J,"Lachapelle, J; Bestion, E; Jackson, EE; Schaum, CE","Lachapelle, Josianne; Bestion, Elvire; Jackson, Eleanor E.; Schaum, C. Elisa",Presence of a resident species aids invader evolution,LIMNOLOGY AND OCEANOGRAPHY,0024-3590,1939-5590,,2022,67,10,2252,2264,,10.1002/lno.12200,,WOS:000851467000001
J,"Paquette, C; Griffiths, K; Gregory-Eaves, I; Beisner, BE","Paquette, Cindy; Griffiths, Katherine; Gregory-Eaves, Irene; Beisner, Beatrix E.",Zooplankton assemblage structure and diversity since pre-industrial times in relation to land use,GLOBAL ECOLOGY AND BIOGEOGRAPHY,1466-822X,1466-8238,,2022,31,11,2337,2352,,10.1111/geb.13575,,WOS:000837751100001
J,"Santos, JBO; Brasil, J; Huszar, VLM","Santos, Juliana B. O.; Brasil, Jandeson; Huszar, Vera L. M.",Responses of Functional and Taxonomic Phytoplankton Diversity to Environmental Gradients in Subtropical and Tropical Reservoirs,FRONTIERS IN ENVIRONMENTAL SCIENCE,,2296-665X,,2022,10,,,,899571,10.3389/fenvs.2022.899571,,WOS:000836936700001
J,"Sommer, F; Sonntag, B; Rastl, N; Summerer, M; Tartarotti, B","Sommer, Fabian; Sonntag, Bettina; Rastl, Nikolai; Summerer, Monika; Tartarotti, Barbara",Ciliates in man-made mountain reservoirs,FRONTIERS IN ENVIRONMENTAL SCIENCE,,2296-665X,,2022,10,,,,903095,10.3389/fenvs.2022.903095,,WOS:000868160000001
J,"Baker, HK; Li, SS; Samu, SC; Jones, NT; Symons, CC; Shurin, JB","Baker, Henry K.; Li, Stephanie S.; Samu, Stefan C.; Jones, Natalie T.; Symons, Celia C.; Shurin, Jonathan B.",Prey naivete alters the balance of consumptive and non-consumptive predator effects and shapes trophic cascades in freshwater plankton,OIKOS,0030-1299,1600-0706,,2022,2022,11,,,e09173,10.1111/oik.09173,,WOS:000822743400001
J,"Stief, P; Schauberger, C; Lund, MB; Greve, A; Abed, RMM; Al-Najjar, MAA; Attard, K; Bonaglia, S; Deutzmann, JS; Franco-Cisterna, B; García-Robledo, E; Holtappels, M; John, U; Maciute, A; Magee, MJ; Pors, R; Santl-Temkiv, T; Scherwass, A; Sevilgen, DS; de Beer, D; Glud, RN; Schramm, A; Kamp, A","Stief, Peter; Schauberger, Clemens; Lund, Marie B.; Greve, Andreas; Abed, Raeid M. M.; Al-Najjar, Mohammad A. A.; Attard, Karl; Bonaglia, Stefano; Deutzmann, Jorg S.; Franco-Cisterna, Belen; Garcia-Robledo, Emilio; Holtappels, Moritz; John, Uwe; Maciute, Adele; Magee, Michael J.; Pors, Rie; Santl-Temkiv, Tina; Scherwass, Anja; Sevilgen, Duygu S.; de Beer, Dirk; Glud, Ronnie N.; Schramm, Andreas; Kamp, Anja",Intracellular nitrate storage by diatoms can be an important nitrogen pool in freshwater and marine ecosystems,COMMUNICATIONS EARTH & ENVIRONMENT,,2662-4435,,2022,3,1,,,154,10.1038/s43247-022-00485-8,,WOS:000820644500001
J,"Hede, N; Khandeparker, L","Hede, Niyati; Khandeparker, Lidita",Ecological Impacts of Aged Freshwater Biofilms on Estuarine Microbial Communities Elucidated Through Microcosm Experiments: A Microbial Invasion Perspective,CURRENT MICROBIOLOGY,0343-8651,1432-0991,,2022,79,7,,,210,10.1007/s00284-022-02903-8,,WOS:000806752000001
J,"Tran, VQ; Nguyen, VT; Dao, TS",Vinh-Quang Tran; Van-Tai Nguyen; Thanh-Son Dao,"Responses of the Micro-Crustacean, Daphnia magna, across Five Generations Continuously Exposed to Di-2-Ethylhexyl Phthalate in Mekong River Water",INZYNIERIA MINERALNA-JOURNAL OF THE POLISH MINERAL ENGINEERING SOCIETY,1640-4920,,,2022,,2,77,83,,10.29227/IM-2022-02-09,,WOS:000925704500009
J,"Wu, L; Ji, L; Chen, XJ; Ni, JJ; Zhang, Y; Geng, M","Wu, Li; Ji, Lei; Chen, Xiaojuan; Ni, Jiajia; Zhang, Yan; Geng, Ming","Distribution of Zooplankton Functional Groups in the Chaohu Lake Basin, China",WATER,,2073-4441,,2022,14,13,,,2106,10.3390/w14132106,,WOS:000823998000001
J,"Hansen, BW","Hansen, Benni Winding",Two Tropical Marine Copepods Demonstrate Physiological Properties Needed for Mass Production,REVIEWS IN FISHERIES SCIENCE & AQUACULTURE,2330-8249,2330-8257,,2023,31,1,141,159,,10.1080/23308249.2022.2095198,,WOS:000828559100001
J,"Van den Wyngaert, S; Ganzert, L; Seto, K; Rojas-Jimenez, K; Agha, R; Berger, SA; Woodhouse, J; Padisak, J; Wurzbacher, C; Kagami, M; Grossart, HP","Van den Wyngaert, Silke; Ganzert, Lars; Seto, Kensuke; Rojas-Jimenez, Keilor; Agha, Ramsy; Berger, Stella A.; Woodhouse, Jason; Padisak, Judit; Wurzbacher, Christian; Kagami, Maiko; Grossart, Hans-Peter",Seasonality of parasitic and saprotrophic zoosporic fungi: linking sequence data to ecological traits,ISME JOURNAL,1751-7362,1751-7370,,2022,16,9,2242,2254,,10.1038/s41396-022-01267-y,,WOS:000817854800002
J,"Tszydel, M; Blonska, D","Tszydel, Mariusz; Blonska, Dagmara",Intra- and interspecific competition resulting from spatial coexistence among larvae of closely-related caddisflies from the genus Hydropsyche,PEERJ,2167-8359,,,2022,10,,,,e13576,10.7717/peerj.13576,,WOS:000822036300003
J,"Lu, XT; Weisse, T","Lu, Xiaoteng; Weisse, Thomas",Top-down control of planktonic ciliates by microcrustacean predators is stronger in lakes than in the ocean,SCIENTIFIC REPORTS,2045-2322,,,2022,12,1,,,10501,10.1038/s41598-022-14301-y,,WOS:000814836700080
J,"Titocci, J; Fink, P","Titocci, Jessica; Fink, Patrick","Food quality impacts on reproductive traits, development and fatty acid composition of the freshwater calanoid copepod Eudiaptomus sp.",JOURNAL OF PLANKTON RESEARCH,0142-7873,1464-3774,,2022,44,4,528,541,,10.1093/plankt/fbac030,,WOS:000814273800001
J,"Wang, J; Jiang, RJ; Xiao, Y; Yin, R; Chen, F; Zhou, YD; Xu, HX","Wang, Jing; Jiang, Ri-Jin; Xiao, Yi; Yin, Rui; Chen, Feng; Zhou, Yong-dong; Xu, Han-Xiang",Trophic Niche Partitioning of Five Sciaenidae Species Sampled in Zhoushan Archipelago Waters via Stable Isotope Analysis,FRONTIERS IN MARINE SCIENCE,,2296-7745,,2022,9,,,,880123,10.3389/fmars.2022.880123,,WOS:000865467600001
J,"de Meo, I; Ostbye, K; Kahilainen, KK; Hayden, B; Magnus, M; Poléo, ABS","de Meo, Ilaria; Ostbye, Kjartan; Kahilainen, Kimmo K.; Hayden, Brian; Magnus, Marius; Poleo, Antonio B. S.","Resource use of crucian carp along a lake productivity gradient is related to body size, predation risk, and resource competition",ECOLOGY OF FRESHWATER FISH,0906-6691,1600-0633,,2023,32,1,10,22,,10.1111/eff.12668,,WOS:000811427400001
J,"Hu, W; Zhang, H; Lin, XW; Liu, RD; Bartlam, M; Wang, YY","Hu, Wei; Zhang, Hui; Lin, Xiaowen; Liu, Ruidan; Bartlam, Mark; Wang, Yingying","Characteristics, Biodiversity, and Cultivation Strategy of Low Nucleic Acid Content Bacteria",FRONTIERS IN MICROBIOLOGY,,1664-302X,,2022,13,,,,900669,10.3389/fmicb.2022.900669,,WOS:000817983600001
J,"Gu, L; Qin, SS; Sun, YF; Huang, J; Akbar, S; Zhang, L; Yang, Z","Gu, Lei; Qin, Shanshan; Sun, Yunfei; Huang, Jing; Akbar, Siddiq; Zhang, Lu; Yang, Zhou",Coping with antagonistic predation risks: Predator-dependent unique responses are dominant in Ceriodaphnia cornuta,MOLECULAR ECOLOGY,0962-1083,1365-294X,,2022,31,14,3951,3962,,10.1111/mec.16550,,WOS:000807225400001
J,"Kovalenko, KE; Reavie, ED","Kovalenko, Katya E.; Reavie, Euan D.",Taxonomic bias in freshwater phytoplankton communities and its effect on environmental assessment metrics,PHYCOLOGIA,0031-8884,2330-2968,,2022,61,4,436,443,,10.1080/00318884.2022.2073077,,WOS:000807596100001
J,"Henderiks, J; Sturm, D; Supraha, L; Langer, G","Henderiks, Jorijntje; Sturm, Daniela; Supraha, Luka; Langer, Gerald",Evolutionary Rates in the Haptophyta: Exploring Molecular and Phenotypic Diversity,JOURNAL OF MARINE SCIENCE AND ENGINEERING,,2077-1312,,2022,10,6,,,798,10.3390/jmse10060798,,WOS:000817423900001
J,"Tabor, RA; Johnson, JR; Peters, RJ; Mahan, R; McHenry, ML; Brenkman, SJ; Pess, GR; Bennett, TR; Liermann, MC","Tabor, Roger A.; Johnson, Jeffery R.; Peters, Roger J.; Mahan, Rebecca; McHenry, Michael L.; Brenkman, Samuel J.; Pess, George R.; Bennett, Todd R.; Liermann, Martin C.","Distribution, Relative Abundance, and Length of Sculpins in the Elwha River Watershed Following the Removal of Two Hydroelectric Dams",NORTHWEST SCIENCE,0029-344X,2161-9859,,2022,95,3-4,292,306,,10.3955/046.095.0305,,WOS:000865432100005
J,"Topor, ZM; Genung, MA; Robinson, KL","Topor, Z. M.; A. Genung, M.; Robinson, K. L.",Multi-storm analysis reveals distinct zooplankton communities following freshening of the Gulf of Mexico shelf by Hurricane Harvey,SCIENTIFIC REPORTS,2045-2322,,,2022,12,1,,,8721,10.1038/s41598-022-12573-y,,WOS:000799975800012
J,"Sweeney, K; Rollwagen-Bollens, G; Hampton, SE","Sweeney, Kathryn; Rollwagen-Bollens, Gretchen; Hampton, Stephanie E.","Grazing impacts of rotifer zooplankton on a cyanobacteria bloom in a shallow temperate lake (Vancouver Lake, WA, USA)",HYDROBIOLOGIA,0018-8158,1573-5117,,2022,849,12,2683,2703,,10.1007/s10750-022-04885-x,,WOS:000799644000001
J,"Krzton, W; Kosiba, J; Wilk-Wozniak, E","Krzton, Wojciech; Kosiba, Joanna; Wilk-Wozniak, Elzbieta",Features that matter: studying how phytoplankton drives zooplankton community functional traits,HYDROBIOLOGIA,0018-8158,1573-5117,,2022,849,12,2647,2662,,10.1007/s10750-022-04863-3,,WOS:000799515200001
J,"Yilcin, D; Yalcin, G; Jovanovic, B; Boukal, DS; Vebrova, L; Riha, D; Stankovic, J; Zdrakovic, DS; Metin, M; Akyurek, YN; Balkanl, D; Filiz, N; Milosevic, D; Feuchtmayr, H; Richardson, JA; Beklioglu, M","Yilcin, Dilvin; Yalcin, Gulce; Jovanovic, Boris; Boukal, David S.; Vebrova, Lucie; Riha, Derya; Stankovic, Jelena; Zdrakovic, Dimitrija Savic; Metin, Melisa; Akyurek, Yasmin Naz; Balkanl, Deniz; Filiz, Nur; Milosevic, Djuradj; Feuchtmayr, Heidrun; Richardson, Jessica A.; Beklioglu, Meryem",Effects of a microplastic mixture differ across trophic levels and taxa in a freshwater food web: In situ mesocosm experiment,SCIENCE OF THE TOTAL ENVIRONMENT,0048-9697,1879-1026,,2022,836,,,,155407,10.1016/j.scitotenv.2022.155407,,WOS:000807359900016
J,"Sá, AKDS; Feitosa, FAN; Cutrim, MVJ; Flores-Montes, MJ; Costa, DD; Cavalcanti, LF","Sa, A. K. D. S.; Feitosa, F. A. N.; Cutrim, M. V. J.; Flores-Montes, M. J.; Costa, D. dos S.; Cavalcanti, L. F.",Phytoplankton community dynamics in response to seawater intrusion in a tropical macrotidal river-estuary continuum,HYDROBIOLOGIA,0018-8158,1573-5117,,2023,850,20,4351,4383,,10.1007/s10750-022-04851-7,,WOS:000791081300002
J,"Liu, Q; Nishibori, N; Hollibaugh, JT","Liu, Qian; Nishibori, Naoyoshi; Hollibaugh, James T.",Sources of polyamines in coastal waters and their links to phytoplankton,MARINE CHEMISTRY,0304-4203,1872-7581,,2022,242,,,,104121,10.1016/j.marchem.2022.104121,,WOS:000799836100002
J,"Yu, WC; Li, JH; Ma, XW; Lv, T; Wang, LG; Li, JR; Liu, CH","Yu, Weicheng; Li, Jiahe; Ma, Xiaowen; Lv, Tian; Wang, Ligong; Li, Jiaru; Liu, Chunhua",Community structure and function of epiphytic bacteria attached to three submerged macrophytes,SCIENCE OF THE TOTAL ENVIRONMENT,0048-9697,1879-1026,,2022,835,,,,155546,10.1016/j.scitotenv.2022.155546,,WOS:000799746300013
J,"Bellier, E; Engen, S; Jensen, TC","Bellier, Edwige; Engen, Steinar; Jensen, Thomas Correll",Seasonal diversity dynamics of a boreal zooplankton community under climate impact,OECOLOGIA,0029-8549,1432-1939,,2022,199,1,139,152,,10.1007/s00442-022-05165-0,,WOS:000787660600002
J,"Oldach, MD; Graves, SD; Janz, DM","Oldach, Mikayla D.; Graves, Stephanie D.; Janz, David M.",Differential selenium uptake by periphyton in boreal lake ecosystems*,ENVIRONMENTAL POLLUTION,0269-7491,1873-6424,,2022,305,,,,119304,10.1016/j.envpol.2022.119304,,WOS:000797073400008
J,"Ramaekers, L; Pinceel, T; Brendonck, L; Vanschoenwinkel, B","Ramaekers, Lana; Pinceel, Tom; Brendonck, Luc; Vanschoenwinkel, Bram",Direct effects of elevated dissolved CO2 can alter the life history of freshwater zooplankton,SCIENTIFIC REPORTS,2045-2322,,,2022,12,1,,,6134,10.1038/s41598-022-10094-2,,WOS:000782202600074
J,"Pasternak, A; Drits, A; Arashkevich, E; Flint, M","Pasternak, Anna; Drits, Alexander; Arashkevich, Elena; Flint, Mikhail",Differential Impact of the Khatanga and Lena (Laptev Sea) Runoff on the Distribution and Grazing of Zooplankton,FRONTIERS IN MARINE SCIENCE,,2296-7745,,2022,9,,,,881383,10.3389/fmars.2022.881383,,WOS:000791345700001
J,"Gomes, ACAM; Macêdo, RL; Gomes, LF; Velho, LFM; Rocha, O; Vieira, LCG","Missias Gomes, Ana Caroline Alcantara; Macedo, Rafael Lacerda; Gomes, Leonardo Fernandes; Machado Velho, Luiz Felipe; Rocha, Odete; Galli Vieira, Ludgero Cardoso","Range expansion of Kellicottia bostoniensis (Rousselet, 1908) (Rotifera) throughout a biogeographic boundary between the Brazilian savanna and the Amazon",AQUATIC SCIENCES,1015-1621,1420-9055,,2022,84,2,,,28,10.1007/s00027-022-00861-8,,WOS:000776859500003
J,"Yuan, JR; Bai, ZX; Ye, SY; Liu, H; Wang, YH; Li, F; Xie, YH; Gao, AG; Wu, AP","Yuan, Jin-Rui; Bai, Zhong-Xi; Ye, Shi-Yun; Liu, Hui; Wang, Yan-Hong; Li, Feng; Xie, Yong-Hong; Gao, An-Guo; Wu, Ai-Ping",High-light inhibition of two submerged macrophytes in a shallow water experiment,AOB PLANTS,2041-2851,,,2022,14,2,,,plac009,10.1093/aobpla/plac009,,WOS:000779887200001
J,"Ludovisi, A; Goretti, E; Pallottini, M; Lucentini, L; Pizzirani, C; Vizzini, S; Mancinelli, G","Ludovisi, Alessandro; Goretti, Enzo; Pallottini, Matteo; Lucentini, Livia; Pizzirani, Claudia; Vizzini, Salvatrice; Mancinelli, Giorgio",Stable isotope analysis reveals trophic segregation between the invasive zebra mussel Dreissena polymorpha and the native duck mussel Anodonta anatina in Lake Trasimeno (Italy),HYDROBIOLOGIA,0018-8158,1573-5117,,2022,849,9,2091,2108,,10.1007/s10750-022-04846-4,,WOS:000774611400002
