original.taxa.name,resolved.taxa.name.gna,resolved.source.gnr,manual
Coccoid sphere,NA,NA,na
Oocystis gigas var. incrassata,Oocystis,Catalogue of Life,bumped
Unidentified chrysophyte flagellate,NA,NA,na
Unidentified chrysophyte ovoid,NA,NA,na
Unidentified coccoid cyanophyta,NA,NA,na
Unidentified coccoid spherical,NA,NA,na
Unidentified Colonial greens,NA,NA,na
Unidentified flagellate,NA,NA,na
Unidentified flagellate ovoid,NA,NA,na
Unidentified flagellates fusiform,NA,NA,na
Unidentified Pennales,NA,NA,na
Unidentified Centrales,NA,NA,na
Dictosphaerium ehrenbergainum,NA,NA,na
Eutetramorus polycoccus,Eutetramorus,Catalogue of Life,bumped
Geminella terricola,Geminella,Catalogue of Life,bumped
Ceriodaphnia quadrangular,Ceriodaphnia,Catalogue of Life,bumped
Anabaena ucrainica,Anabaena,Catalogue of Life,bumped
Diaphanosoma edmondsoni,Diaphanosoma,Catalogue of Life,bumped
Diaphanosoma kizakiensis,Diaphanosoma,Catalogue of Life,bumped
Moina siamensis,Moina,Catalogue of Life,bumped
cyclops sp.,NA,NA,na
Nauplius,Nauplius,Catalogue of Life,juvenile
Cyclops,Cyclops,Catalogue of Life,juvenile
Tintionnopsis,NA,NA,na
Cyclopoids,NA,NA,na
Oscillatoria trichoides,Oscillatoria,Catalogue of Life,bumped
Lepocinclis conica,Lepocinclis,Catalogue of Life,bumped
Menoidium semilunare var. regulare,Menoidium,Catalogue of Life,bumped
Phacus agilis var. inversus,Phacus,Catalogue of Life,bumped
Strombomonas inconstans,Strombomonas,Catalogue of Life,bumped
Strombomonas subcurvata var. africana,Strombomonas,Catalogue of Life,bumped
Trachelomonas hexangulata var. hexagona,Trachelomonas,Catalogue of Life,bumped
Trachelomonas verrucosa f. sparseornata,Trachelomonas,Catalogue of Life,bumped
Aulacomonas submarina,Aulacomonas,Catalogue of Life,bumped
Chlamydomonas incisa,Chlamydomonas,Catalogue of Life,bumped
Pseudopediastrum subgranulatum,Pseudopediastrum,Catalogue of Life,bumped
Pteromonas rugosa,Pteromonas,Catalogue of Life,bumped
Scenedesmus protuberans f. danubianus,Scenedesmus,Catalogue of Life,bumped
Scenedesmus protuberans var. minor,Scenedesmus,Catalogue of Life,bumped
Sphaerellopsis aglo,Sphaerellopsis,Catalogue of Life,bumped
